ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
215,18-33,Female,,,,Very Good,05-Oct,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,A little agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,A little agree,A little agree,Somewhat agree,Strongly agree,Often,Often,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Often,Often,Often,Some of the time,Often,Often,Often,Strongly agree,Strongly agree,Strongly disagree,Very strongly disagree,Very strongly agree,Strongly agree,Strongly agree,Very strongly disagree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,2,99,48,56
216,18-33,Female,Female,Scottish,Undergraduate Degree,Good,0-5,Neither agree nor disagree,A little agree,A little disagree,A little agree,A little agree,Somewhat agree,Strongly agree,A little agree,A little agree,Neither agree nor disagree,A little agree,Somewhat agree,A little agree,A little agree,A little disagree,Neither agree nor disagree,A little disagree,A little agree,Some of the time,Some of the time,,Rarely,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Rarely,Mildly disagree,Mildly agree,Neutral,Strongly disagree,Mildly agree,Strongly agree,Mildly agree,Strongly disagree,Strongly agree,Mildly disagree,Mildly disagree,Mildly agree,3,71,33,49
217,18-33,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,A little disagree,A little disagree,A little agree,A little agree,A little agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,A little disagree,Somewhat disagree,A little disagree,Strongly agree,Some of the time,Some of the time,Rarely,Often,Rarely,Often,Often,Some of the time,Some of the time,Rarely,Often,Some of the time,Often,Some of the time,Mildly disagree,Strongly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,2,95,44,51
218,18-33,Male,Male,"Pakistani, Pakistani Scottish or Pakistani British",Undergraduate Degree,Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat disagree,A little agree,Neither agree nor disagree,A little disagree,A little disagree,Neither agree nor disagree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,A little agree,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Strongly agree,Very strongly disagree,Very strongly agree,Mildly agree,Mildly agree,Strongly disagree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,2,98,44,66
219,18-33,Female,Female,"African, African Scottish or African British","Postgraduate Qualification, Masters",Good,25-30,Somewhat agree,A little disagree,Somewhat agree,Somewhat agree,A little disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,A little disagree,Neither agree nor disagree,A little agree,Somewhat agree,Strongly agree,Often,Some of the time,Often,Often,Some of the time,Often,All of the time,Often,Often,Often,All of the time,All of the time,Rarely,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Mildly agree,3,93,55,76
220,18-33,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Excellent,0-5,Strongly agree,Strongly agree,Somewhat agree,A little agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,Often,Some of the time,Rarely,Often,Rarely,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,All of the time,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,1,103,48,82
221,18-33,Female,,Scottish,Undergraduate Degree,Very Good,0-5,A little agree,A little agree,A little disagree,A little disagree,A little disagree,A little agree,A little disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,A little agree,Strongly disagree,A little agree,Somewhat agree,Often,Some of the time,Some of the time,Often,Rarely,Some of the time,Often,Some of the time,Often,Some of the time,Often,All of the time,Often,Some of the time,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,2,96,49,75
222,18-33,Female,Female,Other (not listed),"Postgraduate Qualification, Masters",Very Good,0-5,A little agree,A little agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,A little disagree,A little disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,A little disagree,A little agree,A little agree,A little agree,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Mildly disagree,Strongly disagree,Very strongly agree,Mildly agree,Mildly agree,Strongly disagree,Mildly agree,Very strongly agree,Mildly agree,Mildly agree,2,77,36,60
223,34-48,Female,Female,Other British,PhD or other professional qualification,Fair,25-30,A little agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little disagree,Somewhat agree,A little disagree,A little agree,Strongly agree,Neither agree nor disagree,A little disagree,Strongly disagree,Somewhat agree,A little agree,Somewhat agree,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Often,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Often,Some of the time,Mildly disagree,Mildly disagree,Very strongly disagree,Very strongly disagree,Mildly agree,Mildly agree,Mildly agree,Very strongly disagree,Mildly agree,Mildly agree,Very strongly disagree,Mildly agree,4,78,41,40
224,49-64,Female,Non-binary / third gender,Scottish,"Postgraduate Qualification, Masters",Very Good,0-5,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,A little agree,Somewhat disagree,A little disagree,Somewhat agree,Often,Often,Often,Often,Some of the time,Often,Often,Often,Some of the time,Often,Often,Some of the time,All of the time,Often,Mildly agree,Mildly agree,Mildly disagree,Strongly disagree,Mildly agree,Mildly agree,Mildly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Mildly agree,2,98,54,51
225,34-48,Female,,Scottish,Undergraduate Degree,Very Good,05-Oct,Somewhat agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,A little agree,Strongly disagree,Somewhat disagree,A little agree,Strongly agree,Strongly agree,Often,Often,Rarely,All of the time,None of the time,Often,Some of the time,Often,Some of the time,Often,All of the time,Often,All of the time,Often,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,103,52,83
226,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,None,A little agree,A little agree,A little agree,A little disagree,A little disagree,Somewhat agree,Somewhat disagree,A little disagree,A little agree,A little agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little disagree,Neither agree nor disagree,Somewhat disagree,A little disagree,Neither agree nor disagree,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Strongly agree,Neutral,Very strongly agree,3,82,44,72
227,18-33,Male,Male,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,None,Somewhat agree,A little agree,Somewhat agree,A little agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,A little agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,Somewhat agree,Somewhat agree,Some of the time,Often,Some of the time,Often,Rarely,Often,Often,Some of the time,Some of the time,Rarely,Some of the time,Often,Often,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,4,96,46,71
228,18-33,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Fair,Oct-15,A little agree,Strongly agree,Somewhat agree,Neither agree nor disagree,A little disagree,Somewhat disagree,Strongly disagree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,A little agree,Somewhat agree,Some of the time,Some of the time,None of the time,Often,None of the time,Rarely,None of the time,Some of the time,Often,Rarely,Often,All of the time,Some of the time,None of the time,Very strongly agree,Very strongly agree,Neutral,Strongly disagree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly disagree,Very strongly agree,Very strongly agree,Mildly disagree,Very strongly agree,4,107,37,67
229,18-33,Male,,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Very Good,0-5,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,A little disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,All of the time,Often,Often,Often,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Neutral,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Neutral,Mildly agree,Strongly agree,2,109,57,64
230,34-48,Female,,"African, African Scottish or African British",Undergraduate Degree,Very Good,None,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Rarely,Rarely,Rarely,Some of the time,Rarely,Often,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Rarely,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly disagree,Strongly agree,Strongly agree,2,90,40,64
232,34-48,Female,,Other white ethnic group,"Postgraduate Qualification, Masters",Good,05-Oct,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,A little agree,A little disagree,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Often,Some of the time,Often,Some of the time,Often,All of the time,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,3,100,45,84
233,18-33,Female,Female,Irish,Undergraduate Degree,Good,05-Oct,Strongly agree,A little disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,A little agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Some of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Often,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Mildly agree,3,106,38,77
234,34-48,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Good,05-Oct,Somewhat agree,Strongly agree,Somewhat agree,A little agree,Strongly disagree,Strongly disagree,A little agree,Somewhat agree,Somewhat agree,A little agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Often,Often,Often,All of the time,Some of the time,Often,Often,Often,All of the time,Often,All of the time,All of the time,Often,Often,Very strongly agree,Very strongly agree,Mildly agree,Mildly disagree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly disagree,Very strongly agree,Very strongly agree,Neutral,Very strongly agree,3,102,59,71
235,18-33,Male,Male,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,0-5,Somewhat agree,Somewhat agree,A little disagree,Neither agree nor disagree,A little agree,Strongly agree,A little agree,A little agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,A little agree,A little agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Rarely,Some of the time,Often,Often,All of the time,All of the time,Often,Often,Rarely,Often,Often,Rarely,Often,Some of the time,Neutral,Mildly agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Mildly agree,Mildly disagree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,2,83,50,56
236,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,Strongly agree,Somewhat disagree,Neither agree nor disagree,A little agree,A little agree,Somewhat agree,Somewhat disagree,A little agree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,A little agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Some of the time,All of the time,Often,Often,Some of the time,Often,All of the time,Some of the time,Some of the time,Often,Some of the time,All of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,3,91,53,79
237,34-48,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,05-Oct,Strongly agree,Strongly agree,Strongly agree,A little agree,A little agree,A little disagree,Somewhat disagree,Neither agree nor disagree,A little agree,A little agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Some of the time,Often,Often,Often,Often,Often,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Neutral,Neutral,Strongly disagree,Strongly disagree,Mildly disagree,Mildly disagree,Neutral,Strongly disagree,Neutral,Mildly agree,Strongly disagree,Mildly disagree,3,96,50,38
238,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,116,70,84
239,18-33,Female,Female,Scottish,"Postgraduate Qualification, Masters",Very Good,0-5,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Often,Often,Some of the time,Some of the time,Some of the time,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Neutral,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Neutral,Mildly disagree,Strongly agree,2,115,50,60
240,18-33,Female,Female,Other white ethnic group,Undergraduate Degree,Good,0-5,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Often,Rarely,All of the time,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,All of the time,Often,Some of the time,Often,Very strongly agree,Very strongly agree,Mildly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,3,114,51,73
241,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Very Good,05-Oct,Somewhat agree,Somewhat agree,Strongly agree,A little agree,Somewhat agree,A little agree,A little agree,Somewhat agree,A little agree,Strongly agree,A little disagree,A little agree,Somewhat agree,A little agree,A little agree,A little agree,Somewhat agree,Somewhat agree,Rarely,Rarely,Some of the time,Some of the time,Rarely,None of the time,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Mildly agree,Strongly disagree,Mildly agree,Mildly agree,Very strongly agree,Strongly agree,Mildly agree,Mildly agree,Very strongly agree,Mildly agree,Strongly agree,Neutral,2,77,34,62
242,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Excellent,0-5,Somewhat agree,A little agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,A little disagree,Somewhat agree,A little disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Often,Rarely,Often,Often,None of the time,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Mildly agree,Strongly agree,Very strongly agree,1,99,40,74
243,18-33,Male,Male,Irish,"Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,A little agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,A little agree,A little agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,A little agree,A little agree,Neither agree nor disagree,A little disagree,None of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Strongly disagree,Mildly disagree,Neutral,Strongly agree,Neutral,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Neutral,Neutral,2,74,44,48
244,18-33,,Female,Other British,Undergraduate Degree,Very Good,None,A little agree,A little disagree,Strongly agree,Somewhat agree,A little disagree,Somewhat disagree,Strongly disagree,A little agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,A little disagree,Somewhat agree,Somewhat disagree,A little agree,A little disagree,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,2,91,44,77
245,18-33,Female,,Scottish,,Very Good,None,Somewhat agree,Somewhat agree,Somewhat disagree,A little disagree,A little disagree,A little agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,Some of the time,Often,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,Very strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,2,100,52,75
246,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,A little agree,A little disagree,A little agree,A little agree,A little disagree,Somewhat agree,A little agree,A little agree,A little disagree,Somewhat agree,Somewhat agree,A little disagree,A little agree,Often,Often,Some of the time,Some of the time,Rarely,Often,Often,Often,Some of the time,Often,Often,Rarely,Rarely,Some of the time,Mildly agree,Mildly disagree,Mildly disagree,Strongly disagree,Strongly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Neutral,Mildly agree,Mildly agree,2,84,46,47
247,18-33,Female,Non-binary / third gender,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,None,Strongly agree,Neither agree nor disagree,Strongly agree,A little agree,Somewhat disagree,A little disagree,Strongly disagree,Somewhat agree,A little agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little disagree,A little agree,Somewhat agree,Strongly agree,Often,Often,Rarely,Often,Often,Some of the time,Often,Often,Some of the time,Often,Often,Often,All of the time,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,2,103,52,73
248,18-33,Male,,Other white ethnic group,Undergraduate Degree,Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Often,All of the time,All of the time,Often,Very strongly agree,Very strongly agree,Strongly agree,Neutral,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Strongly agree,Mildly agree,Strongly agree,2,112,51,74
249,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Fair,05-Oct,Somewhat agree,Strongly agree,A little agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little disagree,Strongly disagree,Strongly agree,A little agree,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Often,Often,Some of the time,Some of the time,Rarely,Often,Often,All of the time,Often,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,4,104,47,68
250,49-64,Female,Female,Other British,Undergraduate Degree,Good,0-5,A little agree,Somewhat agree,Strongly agree,Somewhat agree,A little disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,A little agree,Somewhat disagree,A little agree,A little agree,Somewhat agree,Strongly agree,Rarely,Some of the time,Rarely,Often,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Often,Some of the time,Rarely,Rarely,Mildly disagree,Neutral,Neutral,Neutral,Neutral,Mildly agree,Mildly agree,Mildly disagree,Neutral,Mildly agree,Mildly disagree,Mildly agree,3,90,39,49
251,34-48,Female,,"Chinese, Chinese Scottish or Chinese British",,Good,0-5,Neither agree nor disagree,A little agree,Somewhat agree,A little disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,A little agree,A little agree,A little disagree,Somewhat agree,Somewhat agree,A little agree,Somewhat disagree,A little agree,Somewhat disagree,Somewhat agree,Somewhat agree,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3,97,42,71
252,18-33,Male,,Other (not listed),Undergraduate Degree,Very Good,None,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Often,All of the time,Some of the time,All of the time,Often,Often,Often,Often,Often,Often,Often,All of the time,All of the time,Often,Very strongly agree,Mildly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,2,115,59,78
253,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,05-Oct,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,A little disagree,Strongly agree,Strongly agree,A little disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,A little agree,Strongly disagree,A little disagree,Somewhat agree,Often,Often,Often,Often,Often,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,3,112,63,76
254,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,15-20,A little agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,A little agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,A little disagree,Strongly disagree,A little disagree,Strongly agree,Strongly agree,Some of the time,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Often,Often,Rarely,Some of the time,All of the time,Often,Some of the time,Strongly disagree,Very strongly disagree,Strongly disagree,Mildly disagree,Mildly disagree,Strongly disagree,Very strongly disagree,Strongly disagree,Very strongly disagree,Very strongly disagree,Mildly disagree,Very strongly disagree,3,96,48,22
255,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,Somewhat agree,A little agree,Neither agree nor disagree,A little disagree,Neither agree nor disagree,A little agree,A little disagree,A little disagree,A little agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,A little disagree,A little agree,Neither agree nor disagree,A little agree,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Rarely,Often,Some of the time,Mildly agree,Neutral,Mildly agree,Strongly agree,Mildly agree,Neutral,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,3,81,44,61
